质量_A
t	x	y	v_{x}	v_{y}	v
3.633333333E0	4.761798005E-2	-4.165902685E-2	-3.706198033E-1	2.272219312E-1	4.347284723E-1
3.666666667E0	3.914823772E-2	-3.138391696E-2	-1.539510434E-1	2.510539316E-1	2.944978783E-1
3.700000000E0	3.735457716E-2	-2.492209808E-2	-1.421689317E-1	4.051448684E-1	4.293650772E-1
3.733333333E0	2.967030894E-2	-4.374259065E-3	-1.282403609E-1	3.047541437E-1	3.306367769E-1
3.766666667E0	2.880521976E-2	-4.605155166E-3	-5.488066662E-3	1.312654409E-1	1.313801159E-1
3.800000000E0	2.930443783E-2	4.376770330E-3	8.650189681E-3	2.614538336E-1	2.615968900E-1
3.833333333E0	2.938189907E-2	1.282510041E-2	2.832737338E-2	2.283298773E-1	2.300803620E-1
3.866666667E0	3.119292939E-2	1.959876215E-2	6.728477229E-2	1.699403759E-1	1.827757422E-1
3.900000000E0	3.386755056E-2	2.415445880E-2	1.028197327E-1	9.743886002E-2	1.416553172E-1
3.933333333E0	3.804757823E-2	2.609468615E-2	1.043612472E-1	-1.052412001E-1	1.482126179E-1
3.966666667E0	4.082496704E-2	1.713837879E-2	1.479680495E-1	-1.735031188E-1	2.280304275E-1
4.000000000E0	4.791211486E-2	1.452781157E-2	2.380249026E-1	-1.021587933E-1	2.590217622E-1
4.033333333E0	5.669329387E-2	1.032779257E-2	2.733397375E-1	-1.396830259E-1	3.069624730E-1
4.066666667E0	6.613476403E-2	5.215609840E-3	3.794846055E-1	-6.540488444E-2	3.850796862E-1
4.100000000E0	8.199226758E-2	5.967466942E-3	3.515739333E-1	-1.221432776E-1	3.721870643E-1
4.133333333E0	8.957302625E-2	-2.927275336E-3	2.024597568E-1	-2.473245266E-1	3.196238017E-1
4.166666667E0	9.548958470E-2	-1.052083483E-2	1.383939982E-1	-2.032688141E-1	2.459087423E-1
4.200000000E0	9.879929280E-2	-1.647852961E-2	1.162333726E-1	-1.779828889E-1	2.125749412E-1
4.233333333E0	1.032384762E-1	-2.238636076E-2	1.995649373E-1	-8.924600119E-2	2.186115571E-1
4.266666667E0	1.121036219E-1	-2.242826302E-2	8.719904016E-2	-1.490422615E-1	1.726767741E-1
4.300000000E0	1.090517455E-1	-3.232251153E-2	-4.159240287E-2	-1.784110110E-1	1.831950240E-1
4.333333333E0	1.093307951E-1	-3.432233042E-2	-1.451741429E-1	-1.656427171E-1	2.202567626E-1
4.366666667E0	9.937346935E-2	-4.336535933E-2	-1.844376335E-1	-7.293636489E-2	1.983354582E-1
4.400000000E0	9.703495285E-2	-3.918475475E-2	-1.403592363E-1	2.500330103E-2	1.425688615E-1
4.433333333E0	9.001618693E-2	-4.169847260E-2	-3.656950795E-1	4.586580559E-2	3.685601217E-1
4.466666667E0	7.265528088E-2	-3.612703438E-2	-3.993125033E-1	1.204693840E-1	4.170891365E-1
4.500000000E0	6.339535338E-2	-3.366718033E-2	-2.467971827E-1	7.509670624E-2	2.579696972E-1
4.533333333E0	5.620213537E-2	-3.112058730E-2	-2.689617388E-1	1.017105797E-1	2.875507937E-1
4.566666667E0	4.546457079E-2	-2.688647502E-2	-3.136745108E-1	9.112221892E-2	3.266419408E-1
4.600000000E0	3.529050132E-2	-2.504577270E-2	-3.093040765E-1	-5.086909375E-2	3.134592101E-1
4.633333333E0	2.484429903E-2	-3.027774793E-2	-3.370353960E-1	5.880131716E-2	3.421263700E-1
4.666666667E0	1.282147492E-2	-2.112568489E-2	-1.737340747E-1	1.568162082E-1	2.340402783E-1
4.700000000E0	1.326202738E-2	-1.982333405E-2	-6.299392050E-2	6.355377328E-2	8.948360810E-2
4.733333333E0	8.621880220E-3	-1.688876667E-2	-1.721399111E-1	1.075600632E-1	2.029810735E-1
4.766666667E0	1.786033311E-3	-1.265266317E-2	-7.736973479E-2	1.001714493E-1	1.265716995E-1
4.800000000E0	3.463897900E-3	-1.021067005E-2	8.887225350E-2	4.731966223E-2	1.006847947E-1
4.833333333E0	7.710850211E-3	-9.498019025E-3			
4.866666667E0		-3.023358903E-3		1.559370285E-1	
4.900000000E0	1.274487044E-2	8.977828771E-4			
4.933333333E0	2.161524928E-2	-9.879994728E-4	5.546473873E-1	2.076496498E-2	5.550359520E-1
4.966666667E0	4.972136293E-2	2.282113876E-3	3.183353277E-1	-6.260957837E-2	3.244338765E-1
5.000000000E0	4.283760446E-2	-5.161971364E-3	2.976319510E-1	-5.151222375E-2	3.020567620E-1
5.033333333E0	6.956349300E-2	-1.152034374E-3	6.051172705E-1	-1.803236371E-1	6.314139095E-1
5.066666667E0	8.317875583E-2	-1.718354717E-2	1.168198327E-1	-1.709877034E-1	2.070837222E-1
5.100000000E0	7.735148184E-2	-1.255121460E-2	6.568367441E-2	5.698983094E-2	8.696082977E-2
5.133333333E0	8.755766745E-2	-1.338422511E-2	2.772523474E-1	-2.351790088E-2	2.782480113E-1
5.166666667E0	9.583497167E-2	-1.411907466E-2	2.065103826E-1	-1.502222945E-2	2.070560444E-1
5.200000000E0	1.013250263E-1	-1.438570707E-2	1.194382706E-1	-1.784902129E-3	1.194516068E-1
5.233333333E0	1.037975230E-1	-1.423806813E-2	2.472867750E-2	4.408264377E-3	2.511852475E-2
5.266666667E0	1.029736048E-1	-1.409182278E-2	-7.351201211E-2	7.036180866E-3	7.384797740E-2
5.300000000E0	9.889672224E-2	-1.376898941E-2	-1.690485383E-1	1.396124915E-2	1.696240690E-1
5.333333333E0	9.170370225E-2	-1.316107284E-2	-2.444192951E-1	2.807030179E-2	2.460258801E-1
5.366666667E0	8.260210256E-2	-1.189763596E-2	-1.103245770E-1	1.627655889E-2	1.115187816E-1
5.400000000E0	8.434873045E-2	-1.207596891E-2	-8.970358546E-2	1.974323387E-1	2.168553934E-1
5.433333333E0	7.662186353E-2	1.264519960E-3	-3.141559028E-1	2.233298856E-1	3.854480109E-1
5.466666667E0	6.340500359E-2	2.812690129E-3	-3.112467065E-1	4.355120345E-2	3.142788883E-1
5.500000000E0	5.587208310E-2	4.167933524E-3	-5.374830802E-1	-7.814335062E-2	5.431339105E-1
5.533333333E0	2.757279825E-2	-2.396866579E-3	-5.511457592E-1	-4.325857688E-2	5.528408020E-1
5.566666667E0	1.912903248E-2	1.284028398E-3	-1.495948815E-1	-7.659706528E-2	1.680646869E-1
5.600000000E0	1.759980615E-2	-7.503337598E-3	-1.376275443E-1	-8.261808524E-2	1.605213038E-1
5.633333333E0	9.953862860E-3	-4.223843951E-3	-7.362600990E-2	1.883144672E-1	2.021957662E-1
5.666666667E0	1.269140549E-2	5.050960215E-3	1.918446279E-2	1.005773041E-1	1.023906134E-1
5.700000000E0	1.123282705E-2	2.481309659E-3	-2.169459980E-2	-8.564399255E-2	8.834901878E-2
5.733333333E0	1.124509883E-2	-6.586392884E-4	-5.563387587E-2	-3.296552162E-1	3.343167505E-1
