	质量 A		
t	x	y	
13.447	2.174E-2	0.124
13.481	2.493E-2	0.122
13.515	2.674E-2	0.116
13.549	2.767E-2	0.108
13.583	3.184E-2	0.107
13.617	3.093E-2	9.424E-2
13.651	2.922E-2	7.893E-2
13.685	2.654E-2	6.191E-2
13.719	2.234E-2	4.229E-2
13.753	1.417E-2	2.058E-2
13.787	1.172E-2	-1.510E-3
13.821	9.068E-3	-2.284E-2
13.854	1.133E-2	-4.337E-2
13.888	2.210E-2	-6.028E-2
13.922	9.537E-3	-7.440E-2
13.956	1.019E-2	-8.467E-2
13.990	9.287E-3	-9.426E-2
14.024	-1.770E-3	-9.874E-2
14.058	-2.473E-3	-0.104
14.092	-1.078E-2	-8.755E-2
14.126		
14.160		
14.194		
14.228	-1.347E-2	-4.147E-2
14.262	-2.408E-2	-2.270E-2
14.296	-2.719E-2	4.431E-3
14.330	-2.807E-2	2.461E-2
14.364	-3.747E-2	3.017E-2
14.398		
14.432	-4.895E-2	6.374E-2
14.466	-5.432E-2	8.344E-2
14.500	-5.773E-2	9.549E-2
14.534	-5.964E-2	0.105
14.568	-5.997E-2	0.111
14.602	-5.860E-2	0.114
14.635	-5.624E-2	0.115
14.669	-5.025E-2	0.115
14.703	-4.612E-2	0.110
14.737	-3.999E-2	0.101
14.771	-3.399E-2	9.194E-2
14.805	-2.731E-2	7.955E-2
14.839	-1.270E-2	7.660E-2
14.873	-1.343E-2	5.750E-2
14.907	-8.315E-4	3.680E-2
14.941	1.081E-2	1.832E-2
14.975	2.325E-2	6.909E-3
15.009	2.485E-2	-1.339E-2
15.043	3.878E-2	-3.722E-2
15.077	5.096E-2	-3.419E-2
15.111	5.721E-2	-4.220E-2
15.145	6.134E-2	-6.240E-2
15.179	7.127E-2	-6.888E-2
15.213	7.390E-2	-6.827E-2
15.247	7.280E-2	-6.467E-2
15.281	6.133E-2	-5.451E-2
15.315	5.757E-2	-3.121E-2
15.349	4.767E-2	-1.528E-2
15.383	2.509E-2	1.126E-2
15.416	2.153E-2	2.908E-2
15.450	1.026E-2	4.010E-2
15.484	-8.469E-4	5.135E-2
15.518	-9.407E-3	6.480E-2
15.552	-1.762E-2	8.061E-2
15.586	-2.497E-2	8.754E-2
15.620	-3.373E-2	8.922E-2
15.654	-5.139E-2	9.690E-2
15.688	-5.562E-2	0.101
15.722	-5.782E-2	9.557E-2
15.756	-6.480E-2	9.832E-2
15.790	-6.753E-2	9.460E-2
15.824	-6.847E-2	8.787E-2
15.858	-7.100E-2	8.710E-2
15.892	-6.671E-2	7.332E-2
15.926	-6.088E-2	5.726E-2
15.960	-5.308E-2	4.328E-2
