质量_A
t	x	y	v_{x}	v_{y}	v
6.300000000E0	4.472599880E-2	3.192968750E-2	-2.231949861E-2	-2.565725778E-2	3.400668898E-2
6.333333333E0	4.119815178E-2	2.579551835E-2	-5.211596385E-2	-2.140895018E-1	2.203415269E-1
6.366666667E0	4.125160121E-2	1.765705405E-2	1.010284270E-1	-1.717731054E-1	1.992805631E-1
6.400000000E0	4.793338025E-2	1.434397799E-2	1.201066445E-1	-6.205776363E-2	1.351916125E-1
6.433333333E0	4.925871085E-2	1.351986980E-2	9.944214474E-2	-2.768294472E-1	2.941484030E-1
6.466666667E0	5.456285657E-2	-4.111318487E-3	7.103460583E-2	-2.763730685E-1	2.853558974E-1
6.500000000E0	5.399435124E-2	-4.905001427E-3	-9.964630553E-2	1.471036879E-1	1.776763383E-1
6.533333333E0	4.791976953E-2	5.695594038E-3	-5.197089797E-2	1.662620809E-1	1.741954471E-1
6.566666667E0	5.052962471E-2	6.179137301E-3	1.770817666E-1	-8.199851580E-2	1.951453526E-1
6.600000000E0	5.972522064E-2	2.290263177E-4	1.745835708E-1	-2.613581299E-2	1.765290456E-1
6.633333333E0	6.216852943E-2	4.436749768E-3	-6.078113206E-2	2.000826716E-1	2.091110267E-1
6.666666667E0	5.567314517E-2	1.356787109E-2	-1.483324342E-1	1.787318025E-1	2.322661583E-1
6.700000000E0	5.227970048E-2	1.635220327E-2	1.108641678E-1	2.766055120E-1	2.979957599E-1
6.733333333E0	6.306408969E-2	3.200823856E-2	4.410519023E-2	3.365459468E-1	3.394236911E-1
6.766666667E0	5.522004649E-2	3.878859972E-2	-1.028298166E-1	2.297945512E-2	1.053661547E-1
6.800000000E0	5.620876858E-2	3.354020223E-2	3.813350398E-2	-1.174388318E-1	1.234748693E-1
6.833333333E0	5.776228009E-2	3.095934427E-2	5.101188347E-2	-1.388768833E-1	1.479493189E-1
6.866666667E0	5.960956081E-2	2.428174335E-2	7.274795232E-2	-2.246815969E-1	2.361653755E-1
6.900000000E0	6.261214358E-2	1.598057114E-2	-8.391968481E-2	-1.317121043E-1	1.561748761E-1
6.933333333E0	5.401491515E-2	1.550093639E-2	-1.980037243E-3	-1.949486222E-1	1.949586773E-1
6.966666667E0	6.248014110E-2	2.983996325E-3	1.728305379E-1	-2.832202774E-1	3.317892710E-1
7.000000000E0	6.553695101E-2	-3.380415431E-3	1.590709641E-2	-1.506713151E-1	1.515086827E-1
7.033333333E0	6.354061419E-2	-7.060758017E-3	-1.902181199E-1	3.359338278E-2	1.931617160E-1
7.066666667E0	5.285574302E-2	-1.140856579E-3	-6.984407216E-2	2.884113100E-2	7.556457671E-2
7.100000000E0	5.888434271E-2	-5.138015950E-3	-5.355351849E-2	-6.660748918E-2	8.546658386E-2
7.133333333E0	4.928550845E-2	-5.581355857E-3	-2.247118803E-1	-1.851225518E-2	2.254731309E-1
7.166666667E0	4.390355069E-2	-6.372166296E-3	-1.273106309E-1	3.062342902E-2	1.309419381E-1
7.200000000E0	4.079813305E-2	-3.539793923E-3	2.176086792E-2	1.168109677E-1	1.188206108E-1
7.233333333E0	4.535427522E-2	1.415231550E-3	3.671344373E-2	1.725067940E-1	1.763702666E-1
7.266666667E0	4.324569597E-2	7.960659012E-3	7.996630114E-2	1.411134271E-1	1.621962041E-1
7.300000000E0	5.068536196E-2	1.082279335E-2	1.507386197E-1	1.582430804E-1	2.185474867E-1
7.333333333E0	5.329493728E-2	1.851019770E-2	7.635332459E-2	1.569159541E-1	1.745062945E-1
7.366666667E0	5.577558360E-2	2.128385696E-2	2.782311105E-2	2.604474742E-2	3.811107944E-2
7.400000000E0	5.514981135E-2	2.024651420E-2	9.553352098E-2	8.675160529E-3	9.592659715E-2
7.433333333E0	6.214448500E-2	2.186220100E-2	1.446784122E-1	1.132123288E-2	1.451206852E-1
7.466666667E0	6.479503884E-2	2.100126306E-2	-1.084390320E-1	9.121132894E-2	1.416987303E-1
7.500000000E0	5.491521620E-2	2.794295626E-2	-7.207664088E-2	-1.104901372E-1	1.319208573E-1
7.533333333E0	5.998992944E-2	1.363525391E-2	3.337485483E-2	-3.352186737E-1	3.368760011E-1
7.566666667E0	5.714020653E-2	5.595044679E-3	-8.116564814E-2	3.343651153E-2	8.778304359E-2
7.600000000E0	5.457888623E-2	1.586435468E-2	4.069488213E-2	-1.337948776E-2	4.283788188E-2
7.633333333E0	5.985319867E-2	4.703078829E-3	-4.636782057E-2	-3.292530857E-1	3.325019838E-1
7.666666667E0	5.148769820E-2	-6.085851041E-3	-9.166373323E-2	-1.065467133E-1	1.405504967E-1
7.700000000E0	5.374228312E-2	-2.400035394E-3	-6.202417434E-2	3.024317228E-2	6.900469311E-2
7.733333333E0	4.735275324E-2	-4.069639556E-3	-7.364525994E-2	-1.641986730E-2	7.545353772E-2
7.766666667E0	4.883259912E-2	-3.494693214E-3	1.201499703E-2	2.925214728E-2	3.162353987E-2
7.800000000E0	4.815375304E-2	-2.119496404E-3	1.352967536E-2	2.945308938E-1	2.948414820E-1
7.833333333E0	4.973457748E-2	1.614069971E-2	-8.694213288E-3	2.269655484E-1	2.271320090E-1
7.866666667E0	4.757413882E-2	1.301154016E-2	-3.809339295E-2	-3.746067124E-2	5.342666447E-2
7.900000000E0	4.719501795E-2	1.364332162E-2	6.237105152E-2	9.277120578E-2	1.117883925E-1
7.933333333E0	5.173220892E-2	1.919628721E-2	1.762890673E-1	1.465156703E-1	2.292262570E-1
7.966666667E0	5.894762244E-2	2.341103298E-2	2.202254094E-1	1.160484106E-1	2.489306421E-1
8.000000000E0	6.641390288E-2	2.693284792E-2	-1.384419130E-2	1.348700564E-1	1.355787364E-1
8.033333333E0	5.802467635E-2	3.240237007E-2	-9.125290620E-2	1.548238021E-2	9.255699319E-2
8.066666667E0	6.033037580E-2	2.796500660E-2	2.185447416E-1	-2.753625811E-1	3.515485104E-1
8.100000000E0	7.259432579E-2	1.404486467E-2	1.704162996E-1	-2.644499429E-1	3.146036990E-1
8.133333333E0	7.169146244E-2	1.033501041E-2	-8.405317759E-2	8.196244914E-3	8.445185074E-2
8.166666667E0	6.699078062E-2	1.459128099E-2	-2.681227009E-1	-7.139078686E-2	2.774642809E-1
8.200000000E0	5.381661572E-2	5.575624615E-3	-2.260432091E-1	-1.224520226E-1	2.570798129E-1
8.233333333E0	5.192123335E-2	6.427812820E-3	1.338264171E-2	1.571853355E-2	2.064382222E-2
8.266666667E0	5.470879183E-2	6.623526852E-3	-5.201826463E-2	2.219089272E-1	2.279242678E-1
8.300000000E0	4.845334904E-2	2.122174130E-2	-1.277545084E-1	1.938399574E-1	2.321532759E-1
8.333333333E0	4.619182460E-2	1.954619068E-2	5.906850300E-3	-1.023487299E-1	1.025190392E-1
8.366666667E0	4.884713906E-2	1.439849264E-2	-2.438740610E-2	-7.577318865E-2	7.960101566E-2
8.400000000E0	4.456599753E-2	1.449464477E-2	-3.170939716E-2	9.600193295E-3	3.313079504E-2
8.433333333E0	4.673317925E-2	1.503850553E-2			
8.466666667E0		1.652038072E-2		1.110435108E-1	
8.500000000E0	5.578125000E-2	2.244140625E-2			
8.533333333E0	6.261218710E-2	1.840141027E-2	7.793373686E-2	4.272707564E-2	8.887783938E-2
8.566666667E0	6.097683246E-2	2.528987796E-2	6.709314588E-4	-1.048036552E-2	1.050181939E-2
8.600000000E0	6.265691586E-2	1.770271924E-2	2.450620564E-2	-1.320993444E-1	1.343532319E-1
8.633333333E0	6.261057950E-2	1.648325500E-2	-2.365158214E-2	1.940719936E-2	3.059471727E-2
8.666666667E0	6.108014372E-2	1.899653253E-2	-1.261372098E-2	8.852019562E-2	8.941437798E-2
