质量_A
t	x	y	v	v_{y}	v_{x}
3.066666667E0	3.065125219E-2	-4.547165268E-2	4.862758741E-1	3.772347916E-1	-3.068519802E-1
3.100000000E0	2.327205019E-2	-3.376028184E-2	3.446425676E-1	3.402751115E-1	-5.469321606E-2
3.133333333E0	2.700503779E-2	-2.278664525E-2	3.291537617E-1	3.290849311E-1	6.731046800E-3
3.166666667E0	2.372078664E-2	-1.182128643E-2	3.075984004E-1	3.022486634E-1	-5.711848540E-2
3.200000000E0	2.319713876E-2	-2.636734351E-3	2.214370128E-1	2.208784144E-1	-1.571867277E-2
3.233333333E0	2.267287513E-2	2.903941195E-3	1.263198726E-1	1.262465322E-1	4.303873559E-3
3.266666667E0	2.348406367E-2	5.779701125E-3	7.542936976E-2	6.873480477E-2	3.106632316E-2
3.300000000E0	2.474396334E-2	7.486261513E-3	3.866364998E-2	-1.353144321E-2	3.621847421E-2
3.333333333E0	2.589862861E-2	4.877604911E-3	8.802773067E-2	-7.326975520E-2	4.878959254E-2
3.366666667E0	2.799660284E-2	2.601611167E-3	1.925088605E-1	-1.697194668E-1	9.085683213E-2
3.400000000E0	3.195575076E-2	-6.437026211E-3	2.914814708E-1	-2.769792766E-1	9.079608015E-2
3.433333333E0	3.404967485E-2	-1.586367394E-2	3.809008300E-1	-3.655905573E-1	1.069064391E-1
3.466666667E0	3.908284670E-2	-3.080973003E-2	5.852962411E-1	-5.765476130E-1	1.008193420E-1
3.500000000E0	4.077096432E-2	-5.430018147E-2	5.114751701E-1	-4.969555422E-1	1.210042918E-1
3.533333333E0	4.714979949E-2	-6.394009951E-2	1.892224827E-1	-1.698146775E-1	-8.347528550E-2
3.566666667E0	3.520594528E-2	-6.562115997E-2	2.256910982E-1	-1.202309568E-1	-1.909999708E-1
3.600000000E0	3.441646810E-2	-7.195549664E-2	1.789105043E-1	-1.169875498E-1	1.353620395E-1
