质量_A
t	x	y	v	v_{y}	v_{x}
3.600000000E0	7.996300490E-2	-2.179968793E-2	3.570705231E-1	3.370257812E-1	-1.179533013E-1
3.633333333E0	7.613471716E-2	-7.376733151E-3	6.400174801E-1	6.196366018E-1	-1.602275153E-1
3.666666667E0	6.928117054E-2	1.950941885E-2	4.740862769E-1	4.339050618E-1	-1.910083643E-1
3.700000000E0	6.340082620E-2	2.155027097E-2	4.197830878E-1	-9.198489369E-2	-4.095810300E-1
3.733333333E0	4.197576854E-2	1.337709261E-2	5.539027913E-1	-1.585637387E-1	-5.307220016E-1
3.766666667E0	2.801935943E-2	1.097935506E-2	4.059827082E-1	-1.429234810E-1	-3.799932078E-1
3.800000000E0	1.664288802E-2	3.848860542E-3	5.425205786E-1	-1.453184782E-1	-5.226960093E-1
3.833333333E0	-6.827041187E-3	1.291456514E-3	4.841460683E-1	-2.348126704E-1	-4.233915745E-1
3.866666667E0	-1.158321694E-2	-1.180531748E-2	4.005577525E-1	-3.950567970E-1	-6.615618063E-2
3.900000000E0	-1.123745323E-2	-2.504566328E-2	5.406331319E-1	-5.080496750E-1	1.848505099E-1
3.933333333E0	7.401503872E-4	-4.567529582E-2	5.392093829E-1	-4.823362704E-1	2.410362647E-1
3.966666667E0	4.831631082E-3	-5.720141465E-2	3.853987321E-1	-3.289532739E-1	2.008032028E-1
4.000000000E0	1.412703057E-2	-6.760551408E-2	3.278448962E-1	-2.726516182E-1	1.820532093E-1
4.033333333E0	1.696851170E-2	-7.537818919E-2	2.893007769E-1	-1.477959515E-1	2.486992083E-1
4.066666667E0	3.070697779E-2	-7.745857751E-2	2.798313199E-1	-1.555260810E-1	2.326310506E-1
4.100000000E0	3.247724841E-2	-8.574659460E-2	2.744173025E-1	-1.801645615E-1	2.069917550E-1
4.133333333E0	4.450642813E-2	-8.946954828E-2	4.387614265E-1	8.350189898E-2	4.307424082E-1
4.166666667E0	6.119340896E-2	-8.017980133E-2	4.320335991E-1	1.079050508E-1	4.183414045E-1
